intents,content
activation_function,In this video as Sudhansu sir explains that we are using the SoftMax function for the classification in the outer layer the formula for SoftMax is e^x(i)/Sum(e^x(i). How did we get the value for these classes? Because in the video when sir explained SoftMax activation function using the dice example it was pretty simple but can you please explain this
activation_function,"I have some doubts regarding Activation function, can you please help me?"
activation_function,Suppose i am using any activation function and accuracy of my model is not good. How can I make sure that my model not effected by vanishing gradient and exploding gradient problems
activation_function,"I know in case vanishing gradient weight of inner layer doesn&apos;t change, but how can i detect that Actually if i am using deep neural n/w and my model is not performing . And i am using &quot;sigmoid&quot; or &quot;tanh&quot; activation function then there is possibilty that due these  activation function &quot;vanishing gardient&quot; is effected my model, how can i check that how can we detect &quot;vanishing gardient&quot; in model? Because model performance might be effected by various factors."
activation_function,I am a student of DLCVNLP 25th batch and have a question related to a concept told in last class As taught by Sudhanshu sir in last class that non zero centric property is a disadvantage for activation functions
activation_function,yes i am asking like where should we write the article. For suppose if i need to write an article on activation function. How should we write?
activation_function,One more doubt . What is meant by self gated as swish is self gated Activation Function?
activation_function,"Do we have any one handy like for which problem what activation,loss,optimizer to be used"
activation_function,"that is fine. i am asking about the usage of activation, loss and optimizers in different use cases generally and recommended ones do we have any handy?"
activation_function,what is the official site to get the details of activation function loss function ?
activation_function,"hi there! why zero centric functions are better for gradient update? say if we are comparing sig and tanh functions, 
sig(x) will always be positive and d(sig(x))/dx wil be positive so gradient(derivative) always moves in positive direction"
activation_function,"here as well the <b raw_pre=""*"" raw_post=""*"">*derivative/gradient is always positive*</b>, then why did Sudhanshu say that gradient goes is -ve or +ve direction , so weights can be updated in both directions during backward propagation , and hence it is better than sigmoid<e_m a=""live:itstannus"" ts_ms=""1597405697212"" ts=""1597405697"" t=""61""></e_m>"
activation_function,"but if we consider tanh , tanh(x) may be -ve or +ve but <b raw_pre=""*"" raw_post=""*"">d(tanh(x))/dx will always be positive</b><e_m a=""live:itstannus"" ts_ms=""1597405621375"" ts=""1597405621"" t=""61""></e_m>"
anaconda_installation,Couldn&apos;t install Anaconda 3 in my laptop
anaconda_installation,now i am installing anaocnda
anaconda_installation,"I have downloaded anaconda but application is not starting, please help"
anaconda_installation,I re-installed my Anaconda in D drive instead of C drive as i had less space in C Drive Jupyter notebooks are running But in Cmd window....it shows below error
anaconda_installation,i am following this link to uninstall it This is through commands run in cmd window uninstalling Anaconda3
anaconda_installation,Anaconda 2.7 version installation set up files  is they removed from there from official sites.Where i can get these installation? why?
anaconda_installation,i am unable to install anaconda in my system.While installing i am getting failed to create menus error.Kindly help on the same
anaconda_installation,sir i downloaded anaconda from the dashboard but i am unable to find anaconda navigator and jupyter notebook i tried pip install and conda install it didnt worked can you please help me?
anaconda_installation,"Hi, could I discuss with Jiwitesh please. This is regarding the uninstallation and installation of anaconda navigator"
anaconda_installation,what if i use conda clean -a
anaconda_installation,how to uninstall anaconda
anaconda_installation,"Hello Team , recentky i had unistall anaconda as my tensorflow was not working and intsalled again"
anaconda_installation,I downloaded anaconda navigator
anaconda_installation,I reinstalled anaconda navigator
anaconda_installation,Anaconda 2019.10 version
anaconda_installation,Via anaconda it&apos;s just keep running like above in image
anaconda_installation,how to open it anaconda prompt in linux
anaconda_installation,can I uninstall anaconda distribution and install new one?
anaconda_installation,I&apos;M new to anaconda software kindly help me with this
anaconda_installation,Hey I was facing anaconda installation issue
anaconda_installation,i have uninstalled the anaconda
anaconda_installation,"Yes sir, i have downloaded and insralled latest anaconda but getting same erroe"
anaconda_installation,for me it is difficult to install ananconda
anaconda_installation,Yeah that is profession edition i guess. i am trying out by uninstalling Anaconda and install again
anaconda_installation,"Sir can you check the issue which i,m having with anaconda installation?"
anaconda_installation,"Sir i have enough space in c drive but in c drive i,m unable to see ProgramData folder in which it creates folder for Anaconda 3"
anaconda_installation,actually I have reinstalled my anaconda due to some issue of conda not being recognised but i have lost my environment which i created in my ineuron classes
anaconda_installation,Dose anaconda takes more time to get install
anaconda_installation,i uninstalled anaconda and reinstalled and again created the environment but again i am getting the same error
anaconda_installation,why Anaconda is not working
anaconda_installation,but the anaconda installation link is not updated
anaconda_installation,i was trying to do these steps as per your suggestion &quot;Install &apos;conda install ipykernel&apos; then do &apos;python -m ipykernel install --user&apos; and restart your system then try it mam&quot;
anaconda_installation,"Hello, 

I need help installing tensorflow for my Jupyter notebook."
anaconda_installation,"Hi team , i am having issue after installation of anaconda on my system . Anaconda navigator is not opening and , on clicking on anaconda prompt or jupyter notebook getting prompt&quot; python stopped working &quot;. Kindly help"
